ticker_yf,dias,vol_fin_medio
PETR4.SA,1281,1214072145.06
B3SA3.SA,1281,507505293.93
HAPV3.SA,1281,424594324.36
BEEF3.SA,1281,81176415.95
GMAT3.SA,1281,35191683.98
ENEV3.SA,1281,124928871.72
CSAN3.SA,1281,204827253.78
RAIZ4.SA,1154,62221401.51
COGN3.SA,1281,89791654.84
MBRF3.SA,1281,115000521.39
BBDC4.SA,1281,559522263.93
VAMO3.SA,1280,61883778.53
ITUB4.SA,1281,779499256.49
ABEV3.SA,1281,334615155.8
CPLE3.SA,1281,33795002.51
BBAS3.SA,1281,495945563.38
ITSA4.SA,1281,210964657.9
CSNA3.SA,1281,143605512.73
VALE3.SA,1281,1495407326.63
PRIO3.SA,1281,484711567.91
MGLU3.SA,1281,778852319.65
PETR3.SA,1281,348893172.38
CMIG4.SA,1281,95778203.85
CVCB3.SA,1281,110427659.67
AXIA3.SA,1281,318076194.61
RENT3.SA,1281,367401351.4
RADL3.SA,1281,170544975.25
LREN3.SA,1281,290021580.77
USIM5.SA,1281,135511586.17
CMIN3.SA,1268,34549267.86
EQTL3.SA,1281,218355398.17
ANIM3.SA,1281,27609704.44
ASAI3.SA,1263,181116147.24
VBBR3.SA,1281,182553965.82
PCAR3.SA,1281,108868993.71
BPAC11.SA,1281,308635407.61
POMO4.SA,1281,33912132.14
AMBP3.SA,1281,57642288.19
MRVE3.SA,1281,98111124.28
GGBR4.SA,1281,238547973.46
RDOR3.SA,1281,171843043.52
BRAV3.SA,1279,175957731.13
GOAU4.SA,1281,79769194.09
ECOR3.SA,1281,34236506.13
VIVA3.SA,1281,58456265.2
UGPA3.SA,1281,112292395.88
RAIL3.SA,1281,220300786.49
SUZB3.SA,1281,322753065.22
CEAB3.SA,1281,35365515.85
RCSL4.SA,1281,10172244.69
YDUQ3.SA,1281,63570115.59
RAPT4.SA,1281,26365032.28
RECV3.SA,1218,33697059.82
CBAV3.SA,1168,34700529.24
CYRE3.SA,1281,115348838.27
SMFT3.SA,1170,53842094.75
DIRR3.SA,1281,37002648.33
MOVI3.SA,1281,38268289.95
AZEV4.SA,1281,5361784.18
TOTS3.SA,1281,131602194.06
BBDC3.SA,1281,88992564.91
CASH3.SA,1281,49105386.46
VIVT3.SA,1281,107904321.39
WEGE3.SA,1281,289895889.25
PGMN3.SA,1281,6258365.55
GRND3.SA,1281,8728997.82
ENGI11.SA,1281,96837920.13
CURY3.SA,1281,24652080.57
KLBN11.SA,1281,98398456.38
ALOS3.SA,1279,65859639.33
LWSA3.SA,1281,71033389.92
KLBN4.SA,1281,7268088.46
BRKM5.SA,1281,92218224.56
SIMH3.SA,1281,30338916.57
QUAL3.SA,1281,31962972.39
CXSE3.SA,1221,35766303.94
TIMS3.SA,1281,91722533.89
AZEV3.SA,1281,1527162.76
ODPV3.SA,1281,16667820.49
PLPL3.SA,1281,7921619.8
LJQQ3.SA,1281,20304907.56
BRAP4.SA,1281,66871817.84
GGPS3.SA,1223,32251457.51
ISAE4.SA,1279,44195504.31
JHSF3.SA,1281,17318590.96
SMTO3.SA,1281,47380008.93
FLRY3.SA,1281,39172515.54
AZZA3.SA,1281,93393964.16
CSMG3.SA,1281,34879035.89
BHIA3.SA,1281,244549537.09
BBSE3.SA,1281,132833561.96
SLCE3.SA,1281,48707914.02
DXCO3.SA,1281,30844836.89
SBSP3.SA,1281,234645490.46
AXIA6.SA,1281,82132836.53
HYPE3.SA,1281,104469693.89
SANB11.SA,1281,64453028.07
PSSA3.SA,1281,56575374.84
SBFG3.SA,1281,28807073.86
MULT3.SA,1281,110717751.19
TEND3.SA,1281,38073642.05
ALPA4.SA,1281,55511850.1
TAEE11.SA,1281,57213303.35
MELK3.SA,1281,1211256.33
ITUB3.SA,1281,16583523.38
NEOE3.SA,1281,30652674.38
POSI3.SA,1281,16772186.66
HBSA3.SA,1281,17244896.61
KEPL3.SA,1281,11420196.52
EZTC3.SA,1281,33486967.19
SEER3.SA,1281,6441821.48
FIQE3.SA,1159,1513936.98
INTB3.SA,1276,30566688.25
JALL3.SA,1276,5370140.42
