ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
AALR3,103,0.023,0.1359,61.165,0.3163,0.3478,0.023,0.1359,61.165,0.1334,0.9177,1.9417,0.6627,0.5947,0.9814,1.0625,0.6157
ABCB4,103,-0.0936,0.335,22.3301,0.8685,0.3204,-0.0936,0.335,22.3301,0.0,1.0,0.0,-0.0337,0.0041,0.9909,0.9909,0.0
ABEV3,103,-0.043,0.3302,30.0971,0.4699,0.3965,-0.043,0.3302,30.0971,0.0,1.0,0.0,-0.091,0.0322,0.9394,0.9435,0.0
AERI3,103,-0.3411,0.142,53.3981,0.8221,0.8467,-0.3411,0.142,53.3981,0.0,1.0,0.0,0.235,0.2772,0.9549,0.9557,0.0187
AFLT3,103,0.0145,0.3012,0.0,0.4868,0.5236,0.0145,0.3012,0.0,0.0,1.0,0.0,-0.0084,0.0065,0.9759,0.9872,0.9963
AGRO3,103,0.0811,0.4744,17.4757,0.9871,0.775,0.0811,0.4744,17.4757,0.0078,0.9876,0.0,0.0872,0.0827,0.9932,0.993,0.0
AHEB3,103,-0.1868,0.0063,97.0588,0.065,-0.4285,-0.1868,0.0063,97.0588,0.0,1.0,0.0,0.5425,0.9603,0.7398,0.9683,0.9925
ALOS3,103,-0.1906,0.0993,53.3981,0.6311,0.1827,-0.1906,0.0993,53.3981,0.0,1.0,0.0,0.1291,0.2108,0.9884,0.9888,0.5261
ALPA3,103,0.0116,0.3105,49.5146,0.0279,-0.2011,0.0116,0.3105,49.5146,0.0,1.0,0.0,0.1292,0.1666,0.9892,0.9862,0.9627
ALPA4,103,0.0742,0.1529,73.7864,0.2709,0.3158,0.0742,0.1529,73.7864,0.0,1.0,0.0,-0.0224,-0.0235,0.9857,0.9858,0.0672
ALPK3,103,-0.0114,0.2271,41.7476,0.2272,0.4031,-0.0114,0.2271,41.7476,0.0,1.0,0.0,0.6475,0.7683,0.9579,0.9814,0.6343
ALUP11,103,0.0744,0.2873,45.6311,0.7862,0.6199,0.0744,0.2873,45.6311,0.0068,0.9926,0.0,-0.1187,-0.1277,0.9913,0.9906,0.0037
ALUP3,103,-2.1456,0.1132,63.1068,0.3266,0.3196,-2.1456,0.1132,63.1068,0.0001,0.9925,0.0,0.502,0.5037,0.5755,0.581,0.6903
ALUP4,103,-0.7824,0.0638,78.6408,0.899,0.6056,-0.7824,0.0638,78.6408,0.0137,0.8571,1.9417,-0.1105,0.3469,0.9905,0.9818,0.2985
AMAR3,103,0.0421,0.0515,90.2913,0.8142,0.6597,0.0421,0.0515,90.2913,0.1764,0.9911,0.0,0.1768,0.0654,0.9885,0.9893,0.041
AMBP3,103,0.0149,0.2836,18.4466,0.6054,0.6302,0.0149,0.2836,18.4466,0.0,1.0,0.0,0.6404,0.5851,0.9566,0.9898,0.0
AMER3,103,-0.0035,0.2181,66.0194,0.7233,0.5035,-0.0035,0.2181,66.0194,5.2543,0.8676,1.9417,0.6414,0.6584,0.999,1.3348,0.0896
ANIM3,103,-0.1802,0.5432,0.0,0.326,0.334,-0.1802,0.5432,0.0,0.0,1.0,0.0,0.3587,0.4352,0.6589,0.6667,0.0112
AXIA3,103,-1.0972,0.7232,23.301,0.764,0.7491,-1.0972,0.7232,23.301,0.0,1.0,0.0,-0.0093,0.0155,0.9599,0.96,0.9216
AXIA6,103,-1.6092,0.2918,32.0388,0.7635,0.6258,-1.6092,0.2918,32.0388,0.0,1.0,0.0,0.0223,0.0393,0.9853,0.9853,0.9254
