ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario,svi_log_dev_adf_stat,svi_log_dev_adf_pvalor,svi_log_dev_estacionario,svi_exp_dev_adf_stat,svi_exp_dev_adf_pvalor,svi_exp_dev_estacionario
AALR3,-2.6382,0.0854,False,-7.0625,0.0,True,-5.4301,0.0,True,-6.9658,0.0,True
ABCB4,-2.9666,0.0381,True,-7.0119,0.0,True,-11.5187,0.0,True,-11.6687,0.0,True
ABEV3,-6.6106,0.0,True,-9.6696,0.0,True,-10.9775,0.0,True,-8.9562,0.0,True
AERI3,-5.9766,0.0,True,-10.0141,0.0,True,-13.1947,0.0,True,-12.1619,0.0,True
AFLT3,-16.3401,0.0,True,-8.5907,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
AGRO3,-2.025,0.2757,False,-11.9549,0.0,True,-10.157,0.0,True,-10.2528,0.0,True
AHEB3,-24.8421,0.0,True,-8.8035,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
ALOS3,1.0172,0.9944,False,-6.109,0.0,True,-6.2172,0.0,True,-4.4698,0.0002,True
ALPA3,-15.4185,0.0,True,-7.9405,0.0,True,-12.6458,0.0,True,-15.1865,0.0,True
ALPA4,-15.5484,0.0,True,-7.8886,0.0,True,-8.8477,0.0,True,-15.6526,0.0,True
ALPK3,-3.0818,0.0279,True,-10.6121,0.0,True,-10.9711,0.0,True,-12.5011,0.0,True
ALUP11,-2.1381,0.2295,False,-13.2001,0.0,True,-11.9873,0.0,True,-10.5793,0.0,True
ALUP3,-3.0913,0.0272,True,-13.279,0.0,True,-12.2477,0.0,True,-13.4238,0.0,True
ALUP4,-2.1236,0.2351,False,-11.7057,0.0,True,-7.6422,0.0,True,-5.9614,0.0,True
AMAR3,-1.9503,0.3088,False,-7.7766,0.0,True,-3.3035,0.0147,True,-10.7487,0.0,True
AMBP3,-5.1441,0.0,True,-9.0217,0.0,True,-7.401,0.0,True,-8.134,0.0,True
AMER3,-5.862,0.0,True,-9.6158,0.0,True,-8.299,0.0,True,-5.9611,0.0,True
ANIM3,-2.148,0.2257,False,-11.1345,0.0,True,-10.0842,0.0,True,-11.8273,0.0,True
AVLL3,-2.7807,0.0611,False,-13.5242,0.0,True,-2.6947,0.075,False,-2.7392,0.0675,False
AXIA3,-1.9692,0.3003,False,-3.7914,0.003,True,-4.6184,0.0001,True,-8.173,0.0,True
AXIA6,-3.8937,0.0021,True,-4.1664,0.0008,True,-5.775,0.0,True,-4.4432,0.0002,True
AZEV3,-2.0155,0.2798,False,-6.9409,0.0,True,-4.4023,0.0003,True,-8.0631,0.0,True
AZEV4,-3.4093,0.0106,True,-9.1014,0.0,True,-10.1839,0.0,True,-8.2314,0.0,True
AZZA3,-1.1264,0.7044,False,-7.6926,0.0,True,-5.9056,0.0,True,-4.6294,0.0001,True
B3SA3,-1.4346,0.5656,False,-6.5768,0.0,True,-8.5206,0.0,True,-7.7194,0.0,True
BALM4,-16.4006,0.0,True,-8.5907,0.0,True,-16.1564,0.0,True,-16.1549,0.0,True
BAZA3,-6.3572,0.0,True,-6.2249,0.0,True,-11.4618,0.0,True,-12.0549,0.0,True
BBAS3,-3.1058,0.0261,True,-3.9405,0.0018,True,-4.6443,0.0001,True,-7.9862,0.0,True
BBDC3,-4.3221,0.0004,True,-9.8369,0.0,True,-9.5156,0.0,True,-10.233,0.0,True
BBDC4,-7.8957,0.0,True,-8.2342,0.0,True,-9.8659,0.0,True,-11.2352,0.0,True
BBSE3,-2.404,0.1406,False,-5.8623,0.0,True,-5.5509,0.0,True,-10.4017,0.0,True
BDLL4,-16.4013,0.0,True,-8.6553,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
BEEF3,-3.295,0.0151,True,-7.9035,0.0,True,-10.3558,0.0,True,-11.689,0.0,True
BEES3,-2.984,0.0364,True,-10.3563,0.0,True,-9.3175,0.0,True,-6.9349,0.0,True
BEES4,-4.4759,0.0002,True,-10.7223,0.0,True,-6.8192,0.0,True,-6.8379,0.0,True
BGIP3,-16.3987,0.0,True,-8.5907,0.0,True,-16.1563,0.0,True,-16.1529,0.0,True
BGIP4,-14.5952,0.0,True,-8.9372,0.0,True,-13.6427,0.0,True,-14.0949,0.0,True
BHIA3,-2.3728,0.1496,False,-11.2424,0.0,True,-5.3988,0.0,True,-6.2585,0.0,True
BIOM3,-4.4277,0.0003,True,-7.0388,0.0,True,-6.6473,0.0,True,-5.018,0.0,True
BMEB3,-4.5979,0.0001,True,-10.7968,0.0,True,-6.2082,0.0,True,-4.205,0.0006,True
BMEB4,-1.6392,0.4627,False,-6.9388,0.0,True,-4.4805,0.0002,True,-11.7412,0.0,True
BMGB4,-3.2488,0.0173,True,-8.9575,0.0,True,-9.9557,0.0,True,-7.1813,0.0,True
BMIN4,-13.4537,0.0,True,-9.1899,0.0,True,-5.9876,0.0,True,-13.8759,0.0,True
BMKS3,-6.4825,0.0,True,-10.7803,0.0,True,-12.8479,0.0,True,-6.3436,0.0,True
BNBR3,-14.347,0.0,True,-8.4152,0.0,True,-13.881,0.0,True,-14.1375,0.0,True
BOBR4,-3.1122,0.0257,True,-8.3272,0.0,True,-9.1189,0.0,True,-9.6073,0.0,True
BPAC11,-2.4668,0.1238,False,-7.0469,0.0,True,-4.7168,0.0001,True,-4.2169,0.0006,True
BPAC3,-2.611,0.0907,False,-5.8882,0.0,True,-8.3857,0.0,True,-13.3098,0.0,True
BPAC5,-13.159,0.0,True,-9.0423,0.0,True,-3.7407,0.0036,True,-12.9644,0.0,True
BRAP3,-2.9797,0.0368,True,-5.4468,0.0,True,-5.572,0.0,True,-3.0521,0.0303,True
BRAP4,-3.3025,0.0148,True,-11.765,0.0,True,-6.7866,0.0,True,-5.9409,0.0,True
BRAV3,-1.1782,0.6829,False,-8.8204,0.0,True,-5.5942,0.0,True,-3.899,0.002,True
BRKM3,-8.7307,0.0,True,-7.3369,0.0,True,-7.9132,0.0,True,-9.2767,0.0,True
BRKM5,-9.2864,0.0,True,-8.2805,0.0,True,-10.1371,0.0,True,-9.3163,0.0,True
BRKM6,-16.4012,0.0,True,-8.5907,0.0,True,-16.1564,0.0,True,-16.1555,0.0,True
BRSR3,-8.6689,0.0,True,-8.3032,0.0,True,-3.0107,0.0339,True,-14.6875,0.0,True
BRSR5,-16.4019,0.0,True,-9.0921,0.0,True,-16.1565,0.0,True,-16.1562,0.0,True
BRSR6,-2.3562,0.1545,False,-9.2455,0.0,True,-4.7572,0.0001,True,-4.2909,0.0005,True
BSLI3,-5.0614,0.0,True,-9.2597,0.0,True,-2.0176,0.2789,False,-13.9176,0.0,True
CAMB3,-1.5058,0.5306,False,-8.2493,0.0,True,-9.2548,0.0,True,-13.6805,0.0,True
CAML3,-3.4909,0.0082,True,-10.4784,0.0,True,-12.0887,0.0,True,-10.9399,0.0,True
CASH3,-2.1475,0.2259,False,-11.6448,0.0,True,-8.6292,0.0,True,-3.7811,0.0031,True
CBEE3,-11.5252,0.0,True,-10.7837,0.0,True,-12.0465,0.0,True,-11.3532,0.0,True
CEAB3,-7.0655,0.0,True,-11.3873,0.0,True,-7.5794,0.0,True,-11.6204,0.0,True
CEBR3,-11.7011,0.0,True,-11.1088,0.0,True,-10.1199,0.0,True,-12.1266,0.0,True
CEBR5,-15.058,0.0,True,-12.9445,0.0,True,-15.1004,0.0,True,-14.8684,0.0,True
CEBR6,-6.9649,0.0,True,-12.0178,0.0,True,-7.9464,0.0,True,-7.5608,0.0,True
CEDO3,-16.3401,0.0,True,-28.1425,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
CEDO4,-13.5328,0.0,True,-9.292,0.0,True,-3.0559,0.03,True,-10.8525,0.0,True
CEEB3,-12.8569,0.0,True,-8.6251,0.0,True,-7.4522,0.0,True,-7.7652,0.0,True
CGAS3,-13.2111,0.0,True,-7.6343,0.0,True,-12.5894,0.0,True,-12.4626,0.0,True
CGAS5,-12.7299,0.0,True,-8.0144,0.0,True,-7.8449,0.0,True,-13.5094,0.0,True
CGRA3,-13.8427,0.0,True,-10.0026,0.0,True,-8.1392,0.0,True,-13.9841,0.0,True
CGRA4,-14.7687,0.0,True,-8.5611,0.0,True,-13.5798,0.0,True,-12.2504,0.0,True
CLSC4,-14.9844,0.0,True,-8.2352,0.0,True,-14.3719,0.0,True,-14.6181,0.0,True
CMIG3,-4.0048,0.0014,True,-9.7569,0.0,True,-6.8356,0.0,True,-9.8873,0.0,True
CMIG4,-1.6236,0.4708,False,-6.5553,0.0,True,-7.936,0.0,True,-7.7173,0.0,True
COCE5,-11.44,0.0,True,-9.2258,0.0,True,-16.8865,0.0,True,-17.1303,0.0,True
COGN3,-5.2936,0.0,True,-9.366,0.0,True,-8.9463,0.0,True,-8.9226,0.0,True
CPFE3,-3.323,0.0139,True,-7.1072,0.0,True,-4.058,0.0011,True,-3.6046,0.0057,True
CPLE3,-2.3229,0.1647,False,-11.1617,0.0,True,-9.3561,0.0,True,-11.3918,0.0,True
CRPG5,-3.6433,0.005,True,-9.4798,0.0,True,-3.5997,0.0058,True,-12.0214,0.0,True
CRPG6,-16.4615,0.0,True,-8.5907,0.0,True,-16.22,0.0,True,-16.2168,0.0,True
CSAN3,-2.9467,0.0402,True,-11.8896,0.0,True,-8.1636,0.0,True,-10.6142,0.0,True
CSMG3,-2.203,0.2052,False,-11.5157,0.0,True,-11.2345,0.0,True,-11.4154,0.0,True
CSNA3,-4.4886,0.0002,True,-8.7636,0.0,True,-10.2447,0.0,True,-10.0024,0.0,True
CSUD3,-1.5405,0.5134,False,-6.6954,0.0,True,-12.1748,0.0,True,-10.5564,0.0,True
CTKA4,-16.4587,0.0,True,-8.5907,0.0,True,-16.2199,0.0,True,-16.2139,0.0,True
CTSA3,-10.4991,0.0,True,-7.982,0.0,True,-9.7621,0.0,True,-10.3438,0.0,True
CTSA4,-8.676,0.0,True,-9.8597,0.0,True,-7.3479,0.0,True,-7.8037,0.0,True
CURY3,-1.5239,0.5217,False,-8.306,0.0,True,-11.6756,0.0,True,-4.5333,0.0002,True
CVCB3,-1.3262,0.6171,False,-7.9582,0.0,True,-8.3941,0.0,True,-8.365,0.0,True
CYRE3,-1.7953,0.3828,False,-10.9149,0.0,True,-11.193,0.0,True,-11.2033,0.0,True
DASA3,-5.2268,0.0,True,-17.4812,0.0,True,-7.6239,0.0,True,-6.8077,0.0,True
DEXP3,-6.4117,0.0,True,-9.9698,0.0,True,-7.0854,0.0,True,-7.7395,0.0,True
DEXP4,-16.3994,0.0,True,-8.5907,0.0,True,-16.1563,0.0,True,-16.1537,0.0,True
DIRR3,-1.1286,0.7035,False,-7.8685,0.0,True,-12.6543,0.0,True,-11.4174,0.0,True
DMVF3,-3.6827,0.0044,True,-10.8597,0.0,True,-8.4753,0.0,True,-7.2803,0.0,True
DOHL4,-15.5876,0.0,True,-6.3034,0.0,True,-15.2442,0.0,True,-10.6633,0.0,True
DXCO3,-2.4179,0.1367,False,-10.3343,0.0,True,-2.2945,0.1737,False,-3.8124,0.0028,True
EALT3,-11.38,0.0,True,-9.7564,0.0,True,-10.5832,0.0,True,-10.5747,0.0,True
EALT4,-4.4394,0.0003,True,-8.138,0.0,True,-8.6213,0.0,True,-9.4542,0.0,True
ECOR3,-2.7478,0.0661,False,-8.6818,0.0,True,-8.018,0.0,True,-7.9019,0.0,True
EGIE3,-4.8365,0.0,True,-9.0792,0.0,True,-7.2711,0.0,True,-10.7453,0.0,True
EKTR4,-16.5307,0.0,True,-9.0718,0.0,True,-16.3455,0.0,True,-16.2871,0.0,True
EMAE4,-11.1704,0.0,True,-12.9065,0.0,True,-7.3129,0.0,True,-11.7451,0.0,True
ENEV3,-2.7739,0.0621,False,-8.974,0.0,True,-11.5518,0.0,True,-8.9735,0.0,True
ENGI11,-6.5608,0.0,True,-9.2179,0.0,True,-8.5231,0.0,True,-1.9981,0.2874,False
ENGI3,-4.9344,0.0,True,-9.4976,0.0,True,-7.3629,0.0,True,-7.0191,0.0,True
ENGI4,-11.3822,0.0,True,-11.8867,0.0,True,-11.461,0.0,True,-12.4596,0.0,True
ENJU3,-2.7564,0.0648,False,-9.6137,0.0,True,-8.9894,0.0,True,-7.4142,0.0,True
ENMT3,-12.439,0.0,True,-9.2109,0.0,True,-16.1564,0.0,True,-16.1557,0.0,True
