ticker,status,semanas,svi_media,svi_std,svi_zeros_pct
PETR4,ok,268,17.5,7.84,0.0
B3SA3,ok,268,20.0,10.73,0.0
HAPV3,ok,268,10.6,9.04,0.0
BEEF3,ok,268,26.47,12.59,0.0
GMAT3,ok,268,26.41,15.51,0.3731
ENEV3,ok,268,14.43,11.88,4.4776
CSAN3,ok,268,18.49,9.42,0.0
COGN3,ok,268,27.12,14.51,0.0
MBRF3,ok,268,4.28,14.53,90.2985
BBDC4,ok,268,24.44,9.27,0.0
VAMO3,ok,268,29.1,19.64,0.3731
ITUB4,ok,268,41.29,12.71,0.0
ABEV3,ok,268,12.26,7.36,0.0
CPLE3,ok,268,39.97,19.89,1.1194
BBAS3,ok,268,20.67,13.35,0.0
ITSA4,ok,268,29.34,11.76,0.0
CSNA3,ok,268,37.75,12.05,0.0
VALE3,ok,268,40.02,10.71,0.0
PRIO3,ok,268,36.51,10.0,0.0
MGLU3,ok,268,42.93,21.94,0.0
PETR3,ok,268,14.44,7.74,0.0
CMIG4,ok,268,32.47,18.58,0.0
CVCB3,ok,268,46.7,17.56,0.0
AXIA3,ok,268,5.23,19.1,92.1642
RENT3,ok,268,17.67,8.24,0.0
RADL3,ok,268,17.16,10.1,0.0
LREN3,ok,268,41.77,13.69,0.0
USIM5,ok,268,51.1,15.34,0.0
EQTL3,ok,268,31.27,11.06,0.0
ANIM3,ok,268,40.13,19.09,1.1194
VBBR3,ok,268,35.09,19.22,13.806
PCAR3,ok,268,7.87,7.85,0.0
BPAC11,ok,268,38.47,15.4,0.0
POMO4,ok,268,39.13,15.46,0.0
AMBP3,ok,268,9.59,11.93,0.0
MRVE3,ok,268,29.48,13.34,0.0
GGBR4,ok,268,43.04,13.64,0.0
RDOR3,ok,268,25.77,12.28,0.0
BRAV3,ok,268,15.98,25.86,69.0299
GOAU4,ok,268,24.09,12.18,0.0
ECOR3,ok,268,38.89,14.96,0.3731
VIVA3,ok,268,9.58,7.62,0.7463
UGPA3,ok,268,23.34,10.33,0.3731
RAIL3,ok,268,22.24,13.78,0.0
SUZB3,ok,268,27.91,9.82,0.0
CEAB3,ok,268,20.57,9.76,0.0
RCSL4,ok,268,14.33,13.21,19.7761
YDUQ3,ok,268,29.48,12.99,0.0
RAPT4,ok,268,46.82,16.37,0.7463
CYRE3,ok,268,34.53,14.35,0.0
DIRR3,ok,268,25.12,16.1,0.7463
MOVI3,ok,268,32.75,12.49,0.0
AZEV4,ok,268,21.01,15.84,4.1045
TOTS3,ok,268,18.85,11.52,0.0
BBDC3,ok,268,26.88,10.92,0.0
CASH3,ok,268,22.31,16.8,0.0
VIVT3,ok,268,36.08,12.45,0.0
WEGE3,ok,268,30.39,13.98,0.0
PGMN3,ok,268,21.01,10.83,1.1194
GRND3,ok,268,25.57,14.24,0.0
ENGI11,ok,268,18.11,16.23,35.4478
CURY3,ok,268,37.74,21.57,12.3134
KLBN11,ok,268,44.62,16.05,0.0
ALOS3,ok,268,18.34,22.4,52.6119
LWSA3,ok,268,24.42,17.32,0.0
KLBN4,ok,268,47.82,23.34,0.0
BRKM5,ok,268,25.61,12.72,0.0
SIMH3,ok,268,34.86,13.47,0.0
QUAL3,ok,268,17.58,9.93,0.0
TIMS3,ok,268,28.51,12.5,0.0
AZEV3,ok,268,20.95,19.26,32.0896
ODPV3,ok,268,13.68,10.39,6.3433
PLPL3,ok,268,31.1,15.29,4.1045
LJQQ3,ok,268,27.67,11.19,0.0
BRAP4,ok,268,25.7,11.92,0.0
ISAE4,ok,268,14.65,25.86,73.8806
JHSF3,ok,268,45.56,15.58,0.0
SMTO3,ok,268,33.92,16.85,1.8657
FLRY3,ok,268,23.25,11.01,0.0
AZZA3,ok,268,12.03,21.13,67.9104
CSMG3,ok,268,30.2,12.9,0.0
BHIA3,ok,268,12.76,17.23,50.3731
BBSE3,ok,268,33.84,14.3,0.0
SLCE3,ok,268,35.18,13.95,0.0
DXCO3,ok,268,21.33,15.72,22.3881
SBSP3,ok,268,16.72,10.13,0.3731
AXIA6,ok,268,3.88,14.45,92.5373
HYPE3,ok,268,11.72,7.17,0.0
SANB11,ok,268,31.31,12.66,0.0
PSSA3,ok,268,34.77,12.68,0.0
SBFG3,ok,268,14.78,10.05,5.597
MULT3,ok,268,29.93,18.43,2.9851
TEND3,ok,268,35.89,18.06,3.3582
ALPA4,ok,268,2.67,6.15,6.7164
TAEE11,ok,268,35.23,13.69,0.0
MELK3,ok,268,23.88,18.83,17.9104
ITUB3,ok,268,34.06,12.48,0.0
NEOE3,ok,268,32.09,16.64,0.3731
POSI3,ok,268,23.92,15.2,0.0
HBSA3,ok,268,20.09,15.25,22.7612
KEPL3,ok,268,25.58,16.85,2.2388
