ticker_b3,ticker_yf,long_name,sector,industry,market_cap,currency,erro
AALR3,AALR3.SA,Alliança Saúde e Participações S.A.,Healthcare,Diagnostics & Research,456965632.0,BRL,
ABCB4,ABCB4.SA,Banco ABC Brasil S.A.,Financial Services,Banks - Regional,6087492096.0,BRL,
ABEV3,ABEV3.SA,Ambev S.A.,Consumer Defensive,Beverages - Brewers,250408910848.0,BRL,
AERI3,AERI3.SA,Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.,Industrials,Specialty Industrial Machinery,139519696.0,BRL,
AFLT3,AFLT3.SA,Afluente Transmissão de Energia Elétrica S.A.,Utilities,Utilities - Regulated Electric,480705408.0,BRL,
AGRO3,AGRO3.SA,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Consumer Defensive,Farm Products,1857828224.0,BRL,
AHEB3,AHEB3.SA,São Paulo Turismo S.A.,Consumer Cyclical,Travel Services,205026672.0,BRL,
ALOS3,ALOS3.SA,Allos S.A.,Real Estate,Real Estate Services,13432872960.0,BRL,
ALPA3,ALPA3.SA,Alpargatas S.A.,Consumer Cyclical,Footwear & Accessories,6540714496.0,BRL,
ALPA4,ALPA4.SA,Alpargatas S.A.,Consumer Cyclical,Footwear & Accessories,8218343424.0,BRL,
ALUP11,ALUP11.SA,Alupar Investimento S.A.,Utilities,Utilities - Renewable,15211479040.0,BRL,
AMAR3,AMAR3.SA,Marisa Lojas S.A.,Consumer Cyclical,Apparel Retail,287553696.0,BRL,
AMBP3,AMBP3.SA,Ambipar Participações e Empreendimentos S.A.,Industrials,Waste Management,267086304.0,BRL,
AMER3,AMER3.SA,Americanas S.A.,Consumer Cyclical,Internet Retail,943150400.0,BRL,
ANIM3,ANIM3.SA,Ânima Holding S.A.,Consumer Defensive,Education & Training Services,1152473600.0,BRL,
AXIA3,AXIA3.SA,AXIA Energia SA,Utilities,Utilities - Renewable,113620852736.0,BRL,
AXIA6,AXIA6.SA,AXIA Energia SA,Utilities,Utilities - Renewable,125450723328.0,BRL,
AZEV3,AZEV3.SA,Azevedo & Travassos S.A.,Industrials,Engineering & Construction,88913344.0,BRL,
AZEV4,AZEV4.SA,Azevedo & Travassos S.A.,Industrials,Engineering & Construction,71130672.0,BRL,
AZZA3,AZZA3.SA,Azzas 2154 S.A.,Consumer Cyclical,Footwear & Accessories,3454624768.0,BRL,
B3SA3,B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,76265070592.0,BRL,
BALM4,BALM4.SA,Baumer S.A.,Healthcare,Medical Instruments & Supplies,184927232.0,BRL,
BAZA3,BAZA3.SA,Banco da Amazônia S.A.,Financial Services,Banks - Regional,3728438784.0,BRL,
BBAS3,BBAS3.SA,Banco do Brasil S.A.,Financial Services,Banks - Regional,109035978752.0,BRL,
BBDC3,BBDC3.SA,Banco Bradesco S.A.,Financial Services,Banks - Regional,169874309120.0,BRL,
BBDC4,BBDC4.SA,Banco Bradesco S.A.,Financial Services,Banks - Regional,181816262656.0,BRL,
BBSE3,BBSE3.SA,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified,69632581632.0,BRL,
BDLL4,BDLL4.SA,Bardella S.A. Indústrias Mecânicas,Industrials,Specialty Industrial Machinery,6368000.0,BRL,
BEEF3,BEEF3.SA,Minerva S.A.,Consumer Defensive,Packaged Foods,3594265344.0,BRL,
BEES3,BEES3.SA,Banestes S.A - Banco do Estado do Espírito Santo,Financial Services,Banks - Regional,2971160576.0,BRL,
BEES4,BEES4.SA,Banestes S.A - Banco do Estado do Espírito Santo,Financial Services,Banks - Regional,3046744576.0,BRL,
BGIP3,BGIP3.SA,Banco do Estado de Sergipe S.A.,Financial Services,Banks - Regional,1214099456.0,BRL,
BGIP4,BGIP4.SA,Banco do Estado de Sergipe S.A.,Financial Services,Banks - Regional,703762240.0,BRL,
BHIA3,BHIA3.SA,Grupo Casas Bahia S.A.,Consumer Cyclical,Specialty Retail,1200295552.0,BRL,
BIOM3,BIOM3.SA,Biomm S.A.,Healthcare,Biotechnology,916911616.0,BRL,
BMEB4,BMEB4.SA,Banco Mercantil do Brasil S.A.,Financial Services,Banks - Regional,9747030016.0,BRL,
BMGB4,BMGB4.SA,Banco BMG S.A.,Financial Services,Banks - Regional,3234277376.0,BRL,
BMIN4,BMIN4.SA,Banco Mercantil de Investimentos S.A.,Financial Services,Banks - Regional,86371080.0,BRL,
BMKS3,BMKS3.SA,Bicicletas Monark S.A.,Consumer Cyclical,Leisure,172577632.0,BRL,
BOBR4,BOBR4.SA,Bombril S.A.,Consumer Defensive,Household & Personal Products,338662560.0,BRL,
BPAC11,BPAC11.SA,Banco BTG Pactual S.A.,Financial Services,Capital Markets,170162782208.0,BRL,
BPAC3,BPAC3.SA,Banco BTG Pactual S.A.,Financial Services,Capital Markets,255044288512.0,BRL,
BPAC5,BPAC5.SA,Banco BTG Pactual S.A.,Financial Services,Capital Markets,194324971520.0,BRL,
BRAP3,BRAP3.SA,Bradespar S.A.,Financial Services,Asset Management,7417733120.0,BRL,
BRAV3,BRAV3.SA,Brava Energia S.A.,Energy,Oil & Gas E&P,9876186112.0,BRL,
BRKM3,BRKM3.SA,Braskem S.A.,Basic Materials,Chemicals,5618627072.0,BRL,
BRKM5,BRKM5.SA,Braskem S.A.,Basic Materials,Chemicals,7093018112.0,BRL,
BRKM6,BRKM6.SA,Braskem S.A.,Basic Materials,Chemicals,11189436416.0,BRL,
BRSR5,BRSR5.SA,Banco do Estado do Rio Grande do Sul S.A.,Financial Services,Banks - Regional,6956655616.0,BRL,
