semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3
2021-02-05,7.799308776855469,8.170434951782227,346142100.0,4,0.0017303912017861433,0.04648703371023504,PETR4.SA,PETR4
2021-02-12,7.963623523712158,8.05711555480957,324393500.0,5,0.0014279910862947998,-0.013966524271586156,PETR4.SA,PETR4
2021-02-19,8.382911682128906,7.742647647857666,376347400.0,3,0.006392489626714426,-0.039811918380989644,PETR4.SA,PETR4
2021-02-26,6.139158725738525,6.300641059875488,1269093900.0,5,0.06932911887927357,-0.20609231871796888,PETR4.SA,PETR4
2021-03-05,6.232646942138672,6.343133926391602,677940400.0,5,0.0038021407685848996,0.006721572717983192,PETR4.SA,PETR4
2021-03-12,5.977675914764404,6.564111709594727,574235600.0,5,0.006975534258155298,0.03424423513299844,PETR4.SA,PETR4
2021-03-19,6.7000956535339355,6.799252510070801,357112700.0,5,0.004106877994105287,0.0351954895427615,PETR4.SA,PETR4
2021-03-26,6.663266181945801,6.646268367767334,304725400.0,5,0.0017724852986556383,-0.02275713168897313,PETR4.SA,PETR4
2021-04-02,6.7510905265808105,6.7680888175964355,207901100.0,4,0.00044840717714927036,0.018163195923830686,PETR4.SA,PETR4
2021-04-09,6.810583114624023,6.7000956535339355,253006600.0,5,0.00020325195117926957,-0.010096942443270238,PETR4.SA,PETR4
2021-04-16,6.7680888175964355,6.720607280731201,318802600.0,5,0.0007987119638934597,0.003056716666574792,PETR4.SA,PETR4
2021-04-23,7.110080718994141,6.9373064041137695,398425600.0,4,0.003561642821194644,0.03173505336141001,PETR4.SA,PETR4
2021-04-30,6.96366024017334,6.916807651519775,287155200.0,5,0.0023129665177761033,-0.002959231816734057,PETR4.SA,PETR4
2021-05-07,6.86116886138916,7.139363765716553,297626600.0,5,0.003774555909767593,0.03166932278492321,PETR4.SA,PETR4
2021-05-14,7.2330708503723145,7.701611042022705,510932700.0,5,0.0033974032160310474,0.0758058692735567,PETR4.SA,PETR4
2021-05-21,7.807032585144043,7.599116325378418,385979300.0,5,0.0004516574265742229,-0.013397565656061724,PETR4.SA,PETR4
2021-05-28,7.727967262268066,7.903667449951172,351752700.0,5,0.0025346233992970865,0.03929491836513049,PETR4.SA,PETR4
2021-06-04,7.868527889251709,8.345850944519043,343786200.0,4,0.0012023578342358462,0.05443763657795472,PETR4.SA,PETR4
2021-06-11,8.284358024597168,8.366350173950195,314437100.0,5,0.00023877883007964612,0.002453206440800925,PETR4.SA,PETR4
2021-06-18,8.419061660766602,8.29314136505127,394831900.0,5,0.00143733482313013,-0.008788897305346672,PETR4.SA,PETR4
2021-06-25,8.477629661560059,8.52155590057373,285988700.0,5,0.0010492890846659103,0.027170109972846815,PETR4.SA,PETR4
2021-07-02,8.506912231445312,8.5449800491333,257344700.0,5,0.0002727302970284418,0.002745040157825662,PETR4.SA,PETR4
2021-07-09,8.448344230651855,8.05008602142334,308236000.0,4,0.002466077905894861,-0.05966120450027029,PETR4.SA,PETR4
2021-07-16,8.120368003845215,7.812887191772461,283256800.0,5,0.0008674352824011944,-0.029908202883164696,PETR4.SA,PETR4
2021-07-23,7.684040069580078,7.830460548400879,266375100.0,5,0.0006836119566593169,0.0022467523336658036,PETR4.SA,PETR4
2021-07-30,8.044229507446289,7.880241870880127,263498500.0,5,0.002374781888872272,0.006337270957878317,PETR4.SA,PETR4
2021-08-06,7.733822345733643,8.313637733459473,505371800.0,5,0.006835685929903151,0.05353866913385988,PETR4.SA,PETR4
2021-08-13,8.255073547363281,8.594761848449707,438147400.0,5,0.0005425219794468207,0.033255663494097434,PETR4.SA,PETR4
2021-08-20,8.386846542358398,8.253400802612305,450242700.0,5,0.000713005739475717,-0.04052759639446647,PETR4.SA,PETR4
2021-08-27,8.38371753692627,8.839825630187988,283550700.0,5,0.002047901699722736,0.06864181745680649,PETR4.SA,PETR4
2021-09-03,8.780875205993652,8.16962718963623,355293400.0,5,0.0020496302481133586,-0.07884387515586837,PETR4.SA,PETR4
2021-09-10,8.20996379852295,7.86245059967041,342146100.0,4,0.003864307507450981,-0.038324937231254595,PETR4.SA,PETR4
2021-09-17,8.138598442077637,7.73523473739624,393351100.0,5,0.003849700400596333,-0.016312507978218246,PETR4.SA,PETR4
2021-09-24,7.6483588218688965,8.346484184265137,344364700.0,5,0.002678123548921733,0.0760545634194477,PETR4.SA,PETR4
